Year,Brand,Model,kms_droved,Fuel_type,vehicle_type,No.Of_Owners,Price
2019,Tata,Tiago,"7,917",Petrol,Manual,1st Owner,"₹5,07,000"
2020,Hyundai,AURA,"23,744",Petrol,,1st Owner,"₹7,42,000"
2021,Hyundai,VENUE,"16,364",Petrol,Manual,1st Owner,
2021,Volkswagen,Polo,"49,130",Petrol,Automatic,1st Owner,
2020,Renault,Kwid,"13,264",Petrol,Manual,1st Owner,"₹4,67,000"
2021,Renault,Kiger,"9,832",Petrol,,1st Owner,
2022,Renault,Kiger,"4,062",Petrol,Automatic,1st Owner,
2019,Hyundai,Verna,"90,381",Diesel,Manual,1st Owner,
2020,Maruti,Alto,"15,023",Petrol,Manual,1st Owner,"₹3,67,000"
2012,Maruti,Swift,"29,012",Petrol,Manual,2nd Owner,"₹3,47,000"
2017,Maruti,Wagon,"26,529",Petrol,Manual,1st Owner,"₹3,97,000"
2018,Volkswagen,Polo,"28,361",Petrol,Manual,1st Owner,"₹6,17,000"
2017,Renault,Kwid,"78,354",Petrol,Automatic,1st Owner,"₹3,47,000"
2022,Toyota,URBAN,"4,838",Petrol,,1st Owner,
2022,Tata,Harrier,"7,637",Diesel,Automatic,1st Owner,
2021,Toyota,URBAN,"18,274",Petrol,,2nd Owner,
2021,Hyundai,VENUE,"29,056",Petrol,Manual,1st Owner,"₹7,83,000"
2022,MARUTI,BREZZA,"4,752",Petrol,,1st Owner,
2015,Hyundai,Elite,"72,521",Petrol,Manual,3rd Owner,"₹4,37,000"
2012,Maruti,Swift,"69,375",Petrol,Manual,1st Owner,"₹3,70,000"
2021,Nissan,MAGNITE,"13,717",Petrol,,1st Owner,"₹7,63,000"
2017,Honda,Jazz,"20,158",Petrol,Manual,1st Owner,"₹5,50,000"
2019,Maruti,Ciaz,"60,724",Diesel,Manual,2nd Owner,
2019,Honda,Amaze,"14,686",Petrol,Manual,2nd Owner,"₹6,61,000"
2017,Hyundai,Grand,"13,759",Petrol,Manual,3rd Owner,"₹5,08,000"
2017,Honda,City,"39,749",Petrol,Manual,1st Owner,
2019,Maruti,Ciaz,"38,917",Petrol,Manual,1st Owner,"₹7,31,000"
2017,Honda,City,"61,703",Petrol,Manual,1st Owner,"₹7,24,000"
2019,Hyundai,Grand,"20,969",Petrol,Manual,1st Owner,"₹5,33,000"
2021,Tata,Tiago,"16,183",Petrol,Manual,1st Owner,"₹6,13,000"
2021,Maruti,S,66,Petrol,Manual,1st Owner,"₹4,92,000"
2021,Maruti,S,70,Petrol,Manual,1st Owner,"₹4,92,000"
2021,Maruti,S,69,Petrol,Manual,1st Owner,"₹4,92,000"
2021,Maruti,S,74,Petrol,Manual,1st Owner,"₹4,92,000"
2021,Maruti,S,64,Petrol,Manual,1st Owner,"₹4,92,000"
2021,Maruti,S,189,Petrol,Manual,1st Owner,"₹4,92,000"
2021,Maruti,S,67,Petrol,Manual,1st Owner,"₹4,92,000"
2021,Maruti,S,67,Petrol,Manual,1st Owner,"₹4,92,000"
2021,Maruti,S,65,Petrol,Manual,1st Owner,"₹4,92,000"
2021,Maruti,S,68,Petrol,Manual,1st Owner,"₹4,92,000"
2021,Maruti,S,74,Petrol,Manual,1st Owner,"₹4,92,000"
2010,Maruti,Alto,"48,178",Petrol,Manual,2nd Owner,"₹1,65,000"
2014,Hyundai,i10,"41,439",Petrol,Manual,2nd Owner,"₹3,15,000"
2016,Hyundai,Elite,"33,679",Petrol,Manual,1st Owner,"₹5,54,000"
2016,Hyundai,Grand,"23,365",Petrol,Manual,2nd Owner,"₹4,00,000"
2016,Honda,Amaze,"28,906",Petrol,Manual,1st Owner,"₹5,69,000"
2021,Hyundai,AURA,"11,953",Petrol + CNG,Manual,1st Owner,
2020,Tata,Tiago,"22,230",Petrol,Manual,1st Owner,"₹5,83,000"
2020,KIA,SELTOS,"28,411",Petrol,Automatic,1st Owner,
2021,Hyundai,NEW,"18,700",Petrol + CNG,Manual,1st Owner,"₹6,27,000"
2020,Mahindra,KUV,"26,959",Petrol,Manual,1st Owner,"₹6,94,000"
2021,Hyundai,NEW,"21,421",Petrol + CNG,Manual,1st Owner,"₹6,20,000"
2020,MG,HECTOR,"32,463",Petrol,Automatic,2nd Owner,
2016,Maruti,Swift,"29,619",Petrol,Manual,1st Owner,"₹5,55,000"
2018,Hyundai,Verna,"40,226",Petrol,Manual,1st Owner,
2012,Hyundai,i20,"56,159",Petrol,Manual,1st Owner,"₹3,39,000"
2020,Maruti,Baleno,"17,966",Petrol,Manual,2nd Owner,"₹6,03,000"
2020,Tata,ALTROZ,"17,185",Petrol,Manual,1st Owner,"₹7,48,000"
2012,Honda,Brio,"63,169",Petrol,Manual,1st Owner,"₹2,85,000"
2021,Maruti,Alto,"20,206",Petrol + CNG,Manual,1st Owner,"₹4,96,000"
2014,Maruti,Wagon,"32,907",Petrol,Manual,2nd Owner,"₹3,25,000"
2017,Hyundai,Grand,"28,323",Petrol,Manual,1st Owner,"₹4,58,000"
2018,Maruti,Swift,"42,705",Petrol,Manual,1st Owner,"₹6,63,000"
2015,Hyundai,Elite,"58,457",Petrol,Manual,2nd Owner,"₹4,33,000"
2015,Hyundai,i10,"33,536",Petrol,Manual,1st Owner,"₹3,63,000"
2021,Renault,Kiger,"17,094",Petrol,,1st Owner,
2016,Hyundai,Grand,"18,220",Petrol,Manual,1st Owner,"₹5,25,000"
2020,Maruti,New,"18,137",Petrol + CNG,Manual,1st Owner,"₹6,10,000"
2014,Honda,City,"60,214",Petrol,Manual,1st Owner,"₹5,59,000"
2015,Hyundai,i10,"42,204",Petrol,Manual,2nd Owner,"₹3,58,000"
2019,Honda,Amaze,"46,415",Petrol + CNG,Manual,1st Owner,"₹7,08,000"
2019,Honda,Amaze,"40,167",Petrol,Automatic,1st Owner,
2015,Maruti,Alto,"52,016",Petrol,Manual,1st Owner,"₹2,67,000"
2018,Ford,Figo,"74,534",Petrol + CNG,Manual,1st Owner,"₹5,53,000"
2015,Maruti,Alto,"58,267",Petrol,Manual,1st Owner,"₹2,97,000"
2020,Maruti,Baleno,"18,303",Petrol,,2nd Owner,"₹6,43,000"
2015,Maruti,Swift,"46,303",Petrol,Manual,1st Owner,"₹4,18,000"
2022,Renault,Kwid,"12,612",Petrol,Manual,1st Owner,"₹4,61,000"
2014,Hyundai,i10,"72,110",Petrol,Manual,1st Owner,"₹3,15,000"
2022,Hyundai,VENUE,"13,237",Diesel,Manual,1st Owner,
2015,Ford,Ecosport,"47,766",Petrol + CNG,Automatic,2nd Owner,"₹5,79,000"
2018,Honda,City,"14,363",Petrol,Manual,1st Owner,
2021,Maruti,New,"20,558",Petrol + CNG,Manual,1st Owner,"₹6,53,000"
2014,Hyundai,Verna,"42,229",Petrol,Manual,2nd Owner,"₹5,31,000"
2018,Maruti,Alto,"53,139",Petrol,Manual,1st Owner,"₹2,74,000"
2012,Maruti,Swift,"74,661",Petrol,Manual,1st Owner,"₹3,25,000"
2017,Hyundai,Grand,"17,614",Petrol,Manual,1st Owner,"₹5,29,000"
2019,Maruti,Baleno,"8,889",Petrol,Manual,1st Owner,"₹7,39,000"
2016,Hyundai,i10,"40,937",Petrol,Manual,2nd Owner,"₹3,40,000"
2011,Toyota,Etios,"35,311",Petrol,Manual,1st Owner,"₹3,30,000"
2021,Maruti,New,"20,784",Petrol,Manual,1st Owner,"₹5,28,000"
2020,Renault,Kwid,"19,821",Petrol,Manual,1st Owner,"₹3,92,000"
2013,Honda,City,"45,385",Petrol + CNG,Manual,1st Owner,"₹5,33,000"
2019,Renault,Kwid,"25,884",Petrol,Manual,1st Owner,"₹3,48,000"
2022,Maruti,Alto,"9,585",Petrol,Manual,1st Owner,"₹4,10,000"
2016,Maruti,Ciaz,"41,796",Petrol,Manual,1st Owner,"₹5,95,000"
2020,Maruti,New,"8,618",Petrol + CNG,Manual,1st Owner,"₹5,56,000"
2019,Maruti,IGNIS,"49,640",Petrol,Manual,1st Owner,"₹4,50,000"
2021,Maruti,New,"19,442",Petrol,Manual,1st Owner,"₹5,41,000"
2017,Maruti,Ciaz,"58,767",Petrol,Manual,2nd Owner,"₹7,31,000"
2018,Honda,Amaze,"35,296",Petrol,Automatic,1st Owner,"₹7,42,000"
2016,Honda,City,"92,231",Petrol,Manual,1st Owner,"₹6,90,000"
2019,Maruti,Baleno,"11,825",Petrol,Manual,1st Owner,"₹7,78,000"
2015,Honda,Jazz,"34,185",Petrol,Manual,1st Owner,"₹4,91,000"
2011,Hyundai,i20,"88,129",Petrol,Automatic,1st Owner,"₹3,30,000"
2020,Tata,ALTROZ,"23,053",Petrol,Manual,1st Owner,"₹7,38,000"
2020,Maruti,New,"12,475",Petrol,Manual,1st Owner,"₹5,51,000"
2018,Hyundai,Grand,"62,638",Petrol,Manual,1st Owner,"₹4,44,000"
2015,Hyundai,Eon,"46,556",Petrol,Manual,1st Owner,"₹2,77,000"
2019,Maruti,Baleno,"24,690",Petrol,Manual,2nd Owner,"₹5,99,000"
2014,Hyundai,Grand,"47,940",Petrol,Manual,1st Owner,"₹4,14,000"
2020,Tata,ALTROZ,"18,544",Petrol,Manual,1st Owner,
2017,Hyundai,Grand,"35,701",Petrol + CNG,Manual,2nd Owner,"₹5,32,000"
2019,Maruti,Ciaz,"70,019",Petrol,Manual,1st Owner,"₹7,80,000"
2022,Maruti,New,"11,354",Petrol + CNG,Manual,1st Owner,"₹6,44,000"
2022,MARUTI,BREZZA,"9,023",Petrol,,1st Owner,
2015,Honda,Jazz,"37,993",Petrol,Manual,1st Owner,"₹4,94,000"
2021,Maruti,New,"15,799",Petrol,Manual,1st Owner,"₹5,32,000"
2021,Nissan,MAGNITE,"10,915",Petrol,,1st Owner,
2014,Hyundai,i10,"68,664",Petrol,Manual,1st Owner,"₹3,33,000"
2017,Maruti,Alto,"37,367",Petrol,Manual,1st Owner,"₹3,14,000"
2019,Honda,Amaze,"19,470",Petrol,Automatic,1st Owner,
2018,Maruti,Swift,"31,027",Petrol,Automatic,2nd Owner,"₹6,03,000"
2017,Maruti,Swift,"58,047",Petrol,Manual,1st Owner,"₹4,06,000"
2020,Renault,Kwid,"43,543",Petrol,Manual,1st Owner,"₹3,86,000"
2018,Renault,Kwid,"15,076",Petrol,Manual,1st Owner,"₹3,59,000"
2014,Maruti,Alto,"71,068",Petrol,Manual,1st Owner,"₹2,61,000"
2019,Datsun,Redi,"42,127",Petrol + CNG,Manual,1st Owner,"₹3,17,000"
2019,Renault,Kwid,"27,647",Petrol + CNG,Manual,2nd Owner,"₹4,16,000"
2018,Maruti,Wagon,"14,072",Petrol,Manual,1st Owner,"₹4,80,000"
2022,Hyundai,NEW,"14,919",Petrol,,1st Owner,
2019,Maruti,Baleno,"25,920",Petrol,Manual,1st Owner,"₹6,01,000"
2015,Honda,City,"72,613",Petrol,Manual,1st Owner,"₹6,50,000"
2021,Maruti,New,"16,772",Petrol + CNG,Manual,1st Owner,"₹6,64,000"
2011,Hyundai,i10,"37,493",Petrol,Manual,2nd Owner,"₹2,23,000"
2018,Maruti,Swift,"28,552",Petrol,Manual,1st Owner,"₹6,57,000"
2016,Maruti,Swift,"23,616",Petrol,Manual,1st Owner,"₹4,06,000"
2019,Maruti,Ciaz,"34,678",Petrol,Manual,1st Owner,
2021,Maruti,New,"31,023",Petrol + CNG,Manual,1st Owner,"₹6,27,000"
2017,Hyundai,Verna,"13,163",Petrol,Manual,1st Owner,
2020,Hyundai,GRAND,"16,261",Petrol,Manual,1st Owner,"₹6,25,000"
2016,Honda,Amaze,"16,588",Petrol,Manual,1st Owner,"₹5,55,000"
2019,Hyundai,Elite,"49,439",Petrol,Manual,1st Owner,"₹7,52,000"
2016,Maruti,Alto,"24,951",Petrol,Manual,1st Owner,"₹2,77,500"
2017,Honda,City,"77,797",Petrol,Automatic,2nd Owner,
2018,Maruti,Alto,"6,740",Petrol,Manual,1st Owner,"₹3,43,000"
2020,Tata,ALTROZ,"16,787",Petrol,Manual,1st Owner,"₹7,84,000"
2016,Maruti,Swift,"24,287",Petrol,Manual,1st Owner,"₹4,84,000"
2015,Maruti,Celerio,"49,821",Petrol,Manual,2nd Owner,"₹4,14,000"
2019,MG,HECTOR,"59,094",Petrol,Automatic,1st Owner,
2021,Tata,ALTROZ,"40,005",Diesel,,1st Owner,
2020,Tata,ALTROZ,"21,058",Petrol,Manual,2nd Owner,"₹7,47,000"
2019,Maruti,Dzire,"21,477",Petrol,Automatic,1st Owner,"₹6,72,000"
